Sample ID	50	100	150	200	250
1	13.4	21.3	24.0	28.4	32.0
2	17.9	28.6	34.6	38.3	42.0
3	17.3	29.7	36.0	38.7	40.7
4	20.2	31.7	37.7	40.0	41.0
5	24.9	33.3	37.2	41.0	46.0
6	16.3	26.0	32.6	37.0	38.7
7	27.0	35.0	39.3	41.7	42.0
8	13.8	32.4	37.3	40.0	40.3
9	18.8	35.0	39.4	40.7	42.7
10	33.2	36.7	40.7	42.7	43.5
11	33.9	35.8	40.6	42.0	44.7
12	23.5	38.3	38.7	40.3	44.0
